Paper ID,Paper Title,Author(s),Session,Oral
9312,ActiveMoCap: Optimized Viewpoint Selection for Active Human Motion Capture,"Sena Kiciroglu, Helge Rhodin, Sudipta N. Sinha, Mathieu Salzmann, Pascal Fua",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
5348,Peek-a-Boo: Occlusion Reasoning in Indoor Scenes With Plane Representations,"Ziyu Jiang, Buyu Liu, Samuel Schulter, Zhangyang Wang, Manmohan Chandraker",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
6128,Multi-Modal Domain Adaptation for Fine-Grained Action Recognition,"Jonathan Munro, Dima Damen",Oral 1.1B — Action and Behavior,True
2831,Evolving Losses for Unsupervised Video Representation Learning,"AJ Piergiovanni, Anelia Angelova, Michael S. Ryoo",Oral 1.1B — Action and Behavior,True
5346,Disentangling and Unifying Graph Convolutions for Skeleton-Based Action Recognition,"Ziyu Liu, Hongwen Zhang, Zhenghao Chen, Zhiyong Wang, Wanli Ouyang",Oral 1.1B — Action and Behavior,True
1155,A Multigrid Method for Efficiently Training Video Models,"Chao-Yuan Wu, Ross Girshick, Kaiming He, Christoph Feichtenhofer, Philipp Krähenbühl",Oral 1.1B — Action and Behavior,True
2928,Ego-Topo: Environment Affordances From Egocentric Video,"Tushar Nagarajan, Yanghao Li, Christoph Feichtenhofer, Kristen Grauman",Oral 1.1B — Action and Behavior,True
7531,Generative Hybrid Representations for Activity Forecasting With No-Regret Learning,"Jiaqi Guan, Ye Yuan, Kris M. Kitani, Nicholas Rhinehart",Oral 1.1B — Action and Behavior,True
1993,Skeleton-Based Action Recognition With Shift Graph Convolutional Network,"Ke Cheng, Yifan Zhang, Xiangyu He, Weihan Chen, Jian Cheng, Hanqing Lu",Oral 1.1B — Action and Behavior,True
7339,Predicting Goal-Directed Human Attention Using Inverse Reinforcement Learning,"Zhibo Yang, Lihan Huang, Yupei Chen, Zijun Wei, Seoyoung Ahn, Gregory Zelinsky, Dimitris Samaras, Minh Hoai",Oral 1.1B — Action and Behavior,True
378,X3D: Expanding Architectures for Efficient Video Recognition,Christoph Feichtenhofer,Oral 1.1B — Action and Behavior,True
751,Dynamic Multiscale Graph Neural Networks for 3D Skeleton Based Human Motion Prediction,"Maosen Li, Siheng Chen, Yangheng Zhao, Ya Zhang, Yanfeng Wang, Qi Tian",Oral 1.1B — Action and Behavior,True
3095,"Use the Force, Luke! Learning to Predict Physical Forces by Simulating Effects","Kiana Ehsani, Shubham Tulsiani, Saurabh Gupta, Ali Farhadi, Abhinav Gupta",Oral 1.1B — Action and Behavior,True
7938,DaST: Data-Free Substitute Training for Adversarial Attacks,"Mingyi Zhou, Jing Wu, Yipeng Liu, Shuaicheng Liu, Ce Zhu",Oral 1.1C — Adversarial Learning,True
9633,Towards Verifying Robustness of Neural Networks Against A Family of Semantic Perturbations,"Jeet Mohapatra, Tsui-Wei Weng, Pin-Yu Chen, Sijia Liu, Luca Daniel",Oral 1.1C — Adversarial Learning,True
6102,The Secret Revealer: Generative Model-Inversion Attacks Against Deep Neural Networks,"Yuheng Zhang, Ruoxi Jia, Hengzhi Pei, Wenxiao Wang, Bo Li, Dawn Song",Oral 1.1C — Adversarial Learning,True
8087,A Self-supervised Approach for Adversarial Robustness,"Muzammal Naseer, Salman Khan, Munawar Hayat, Fahad Shahbaz Khan, Fatih Porikli",Oral 1.1C — Adversarial Learning,True
7089,Adversarial Vertex Mixup: Toward Better Adversarially Robust Generalization,"Saehyung Lee, Hyungyu Lee, Sungroh Yoon",Oral 1.1C — Adversarial Learning,True
10482,How Does Noise Help Robustness? Explanation and Exploration under the Neural SDE Framework,"Xuanqing Liu, Tesi Xiao, Si Si, Qin Cao, Sanjiv Kumar, Cho-Jui Hsieh",Oral 1.1C — Adversarial Learning,True
7311,Unpaired Image Super-Resolution Using Pseudo-Supervision,Shunta Maeda,Oral 1.1C — Adversarial Learning,True
7866,Universal Litmus Patterns: Revealing Backdoor Attacks in CNNs,"Soheil Kolouri, Aniruddha Saha, Hamed Pirsiavash, Heiko Hoffmann",Oral 1.1C — Adversarial Learning,True
9636,Robustness Guarantees for Deep Neural Networks on Videos,"Min Wu, Marta Kwiatkowska",Oral 1.1C — Adversarial Learning,True
5414,Benchmarking Adversarial Robustness on Image Classification,"Yinpeng Dong, Qi-An Fu, Xiao Yang, Tianyu Pang, Hang Su, Zihao Xiao, Jun Zhu",Oral 1.1C — Adversarial Learning,True
4226,What It Thinks Is Important Is Important: Robustness Transfers Through Input Gradients,"Alvin Chan, Yi Tay, Yew-Soon Ong",Oral 1.1C — Adversarial Learning,True
2062,"Transferable, Controllable, and Inconspicuous Adversarial Attacks on Person Re-identification With Deep Mis-Ranking","Hongjun Wang, Guangrun Wang, Ya Li, Dongyu Zhang, Liang Lin",Oral 1.1C — Adversarial Learning,True
46,Video Modeling With Correlation Networks,"Heng Wang, Du Tran, Lorenzo Torresani, Matt Feiszli",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
150,Projection & Probability-Driven Black-Box Attack,"Jie Li, Rongrong Ji, Hong Liu, Jianzhuang Liu, Bineng Zhong, Cheng Deng, Qi Tian",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
558,Auxiliary Training: Towards Accurate and Robust Models,"Linfeng Zhang, Muzhou Yu, Tong Chen, Zuoqiang Shi, Chenglong Bao, Kaisheng Ma",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
577,PaStaNet: Toward Human Activity Knowledge Engine,"Yong-Lu Li, Liang Xu, Xinpeng Liu, Xijie Huang, Yue Xu, Shiyi Wang, Hao-Shu Fang, Ze Ma, Mingyang Chen, Cewu Lu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
584,A Hierarchical Graph Network for 3D Object Detection on Point Clouds,"Jintai Chen, Biwen Lei, Qingyu Song, Haochao Ying, Danny Z. Chen, Jian Wu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
890,Learning Generative Models of Shape Handles,"Matheus Gadelha, Giorgio Gori, Duygu Ceylan, Radomír Měch, Nathan Carr, Tamy Boubekeur, Rui Wang, Subhransu Maji",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1028,One Man’s Trash Is Another Man’s Treasure: Resisting Adversarial Examples by Adversarial Examples,"Chang Xiao, Changxi Zheng",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1118,Toward a Universal Model for Shape From Texture,"Dor Verbin, Todd Zickler",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1176,HybridPose: 6D Object Pose Estimation Under Hybrid Representations,"Chen Song, Jiaru Song, Qixing Huang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1368,Boundary-Aware 3D Building Reconstruction From a Single Overhead Image,"Jisan Mahmud, True Price, Akash Bapat, Jan-Michael Frahm",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1622,Articulation-Aware Canonical Surface Mapping,"Nilesh Kulkarni, Abhinav Gupta, David F. Fouhey, Shubham Tulsiani",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1690,BiFuse: Monocular 360 Depth Estimation via Bi-Projection Fusion,"Fu-En Wang, Yu-Hsuan Yeh, Min Sun, Wei-Chen Chiu, Yi-Hsuan Tsai",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1753,Transformation GAN for Unsupervised Image Synthesis and Representation Learning,"Jiayu Wang, Wengang Zhou, Guo-Jun Qi, Zhongqian Fu, Qi Tian, Houqiang Li",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1812,PPDM: Parallel Point Detection and Matching for Real-Time Human-Object Interaction Detection,"Yue Liao, Si Liu, Fei Wang, Yanjie Chen, Chen Qian, Jiashi Feng",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1926,Height and Uprightness Invariance for 3D Prediction From a Single View,"Manel Baradad, Antonio Torralba",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
1948,SCT: Set Constrained Temporal Transformer for Set Supervised Action Segmentation,"Mohsen Fayyaz, Jürgen Gall",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
2075,3DV: 3D Dynamic Voxel for Action Recognition in Depth Video,"Yancheng Wang, Yang Xiao, Fu Xiong, Wenxiang Jiang, Zhiguo Cao, Joey Tianyi Zhou, Junsong Yuan",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
2261,Adaptive Interaction Modeling via Graph Operations Search,"Haoxin Li, Wei-Shi Zheng, Yu Tao, Haifeng Hu, Jian-Huang Lai",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
2312,Front2Back: Single View 3D Shape Reconstruction via Front to Back Prediction,"Yuan Yao, Nico Schertler, Enrique Rosales, Helge Rhodin, Leonid Sigal, Alla Sheffer",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
2651,SDC-Depth: Semantic Divide-and-Conquer Network for Monocular Depth Estimation,"Lijun Wang, Jianming Zhang, Oliver Wang, Zhe Lin, Huchuan Lu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
2709,Single-View View Synthesis With Multiplane Images,"Richard Tucker, Noah Snavely",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
2724,Deep Parametric Shape Predictions Using Distance Fields,"Dmitriy Smirnov, Matthew Fisher, Vladimir G. Kim, Richard Zhang, Justin Solomon",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
2935,Leveraging Photometric Consistency Over Time for Sparsely Supervised Hand-Object Reconstruction,"Yana Hasson, Bugra Tekin, Federica Bogo, Ivan Laptev, Marc Pollefeys, Cordelia Schmid",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
4403,Ensemble Generative Cleaning With Feedback Loops for Defending Adversarial Attacks,"Jianhe Yuan, Zhihai He",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
4504,Temporal Pyramid Network for Action Recognition,"Ceyuan Yang, Yinghao Xu, Jianping Shi, Bo Dai, Bolei Zhou",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
4593,FaceScape: A Large-Scale High Quality 3D Face Dataset and Detailed Riggable 3D Face Prediction,"Haotian Yang, Hao Zhu, Yanru Wang, Mingkai Huang, Qiu Shen, Ruigang Yang, Xun Cao",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
4645,Structure-Guided Ranking Loss for Single Image Depth Prediction,"Ke Xian, Jianming Zhang, Oliver Wang, Long Mai, Zhe Lin, Zhiguo Cao",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
4787,In Perfect Shape: Certifiably Optimal 3D Shape Reconstruction From 2D Landmarks,"Heng Yang, Luca Carlone",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
4856,When NAS Meets Robustness: In Search of Robust Architectures Against Adversarial Attacks,"Minghao Guo, Yuzhe Yang, Rui Xu, Ziwei Liu, Dahua Lin",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
4937,Towards Transferable Targeted Attack,"Maosen Li, Cheng Deng, Tengjiao Li, Junchi Yan, Xinbo Gao, Heng Huang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
4998,Self-Supervised Human Depth Estimation From Monocular Videos,"Feitong Tan, Hao Zhu, Zhaopeng Cui, Siyu Zhu, Marc Pollefeys, Ping Tan",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5079,Recursive Social Behavior Graph for Trajectory Prediction,"Jianhua Sun, Qinhong Jiang, Cewu Lu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5137,Context-Aware and Scale-Insensitive Temporal Repetition Counting,"Huaidong Zhang, Xuemiao Xu, Guoqiang Han, Shengfeng He",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5268,OASIS: A Large-Scale Dataset for Single Image 3D in the Wild,"Weifeng Chen, Shengyi Qian, David Fan, Noriyuki Kojima, Max Hamilton, Jia Deng",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5500,VPLNet: Deep Single View Normal Estimation With Vanishing Points and Lines,"Rui Wang, David Geraghty, Kevin Matzen, Richard Szeliski, Jan-Michael Frahm",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5580,Adversarial Robustness: From Self-Supervised Pre-Training to Fine-Tuning,"Tianlong Chen, Sijia Liu, Shiyu Chang, Yu Cheng, Lisa Amini, Zhangyang Wang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5625,Defending Against Universal Attacks Through Selective Feature Regeneration,"Tejas Borkar, Felix Heide, Lina Karam",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5646,Universal Physical Camouflage Attacks on Object Detectors,"Lifeng Huang, Chengying Gao, Yuyin Zhou, Cihang Xie, Alan L. Yuille, Changqing Zou, Ning Liu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5679,Intra- and Inter-Action Understanding via Temporal Action Parsing,"Dian Shao, Yue Zhao, Bo Dai, Dahua Lin",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5723,Lightweight Photometric Stereo for Facial Details Recovery,"Xueying Wang, Yudong Guo, Bailin Deng, Juyong Zhang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5749,Bundle Pooling for Polygonal Architecture Segmentation Problem,"Huayi Zeng, Kevin Joseph, Adam Vest, Yasutaka Furukawa",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5793,AvatarMe: Realistically Renderable 3D Facial Reconstruction “In-the-Wild”,"Alexandros Lattas, Stylianos Moschoglou, Baris Gecer, Stylianos Ploumpis, Vasileios Triantafyllou, Abhijeet Ghosh, Stefanos Zafeiriou",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5856,Defending Against Model Stealing Attacks With Adaptive Misinformation,"Sanjay Kariyappa, Moinuddin K. Qureshi",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5913,Learning to Generate 3D Training Data Through Hybrid Gradient,"Dawei Yang, Jia Deng",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5939,Cascaded Refinement Network for Point Cloud Completion,"Xiaogang Wang, Marcelo H. Ang Jr., Gim Hee Lee",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5942,Enhancing Intrinsic Adversarial Robustness via Feature Pyramid Decoder,"Guanlin Li, Shuya Ding, Jun Luo, Chang Liu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5950,Learning to Discriminate Information for Online Action Detection,"Hyunjun Eun, Jinyoung Moon, Jongyoul Park, Chanho Jung, Changick Kim",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5972,Adversarial Examples Improve Image Recognition,"Cihang Xie, Mingxing Tan, Boqing Gong, Jiang Wang, Alan L. Yuille, Quoc V. Le",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
5994,PQ-NET: A Generative Part Seq2Seq Network for 3D Shapes,"Rundi Wu, Yixin Zhuang, Kai Xu, Hao Zhang, Baoquan Chen",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6143,Actor-Transformers for Group Activity Recognition,"Kirill Gavrilyuk, Ryan Sanford, Mehrsan Javan, Cees G. M. Snoek",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6181,SG-NN: Sparse Generative Neural Networks for Self-Supervised Scene Completion of RGB-D Scans,"Angela Dai, Christian Diller, Matthias Nießner",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6199,Geometry-Aware Satellite-to-Ground Image Synthesis for Urban Areas,"Xiaohu Lu, Zuoyue Li, Zhaopeng Cui, Martin R. Oswald, Marc Pollefeys, Rongjun Qin",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6204,Action Modifiers: Learning From Adverbs in Instructional Videos,"Hazel Doughty, Ivan Laptev, Walterio Mayol-Cuevas, Dima Damen",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6238,ZSTAD: Zero-Shot Temporal Activity Detection,"Lingling Zhang, Xiaojun Chang, Jun Liu, Minnan Luo, Sen Wang, Zongyuan Ge, Alexander Hauptmann",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6239,Geometric Structure Based and Regularized Depth Estimation From 360 Indoor Imagery,"Lei Jin, Yanyu Xu, Jia Zheng, Junfei Zhang, Rui Tang, Shugong Xu, Jingyi Yu, Shenghua Gao",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6303,Deep Kinematics Analysis for Monocular 3D Human Pose Estimation,"Jingwei Xu, Zhenbo Yu, Bingbing Ni, Jiancheng Yang, Xiaokang Yang, Wenjun Zhang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6359,TEA: Temporal Excitation and Aggregation for Action Recognition,"Yan Li, Bin Ji, Xintian Shi, Jianguo Zhang, Bin Kang, Limin Wang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6398,Oops! Predicting Unintentional Action in Video,"Dave Epstein, Boyuan Chen, Carl Vondrick",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6405,Scene Recomposition by Learning-Based ICP,"Hamid Izadinia, Steven M. Seitz",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6435,Enhancing Cross-Task Black-Box Transferability of Adversarial Examples With Dispersion Reduction,"Yantao Lu, Yunhan Jia, Jianyu Wang, Bai Li, Weiheng Chai, Lawrence Carin, Senem Velipasalar",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6566,Single-Step Adversarial Training With Dropout Scheduling,"Vivek B.S., R. Venkatesh Babu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6582,Deep Non-Line-of-Sight Reconstruction,"Javier Grau Chopite, Matthias B. Hullin, Michael Wand, Julian Iseringhausen",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6606,SSRNet: Scalable 3D Surface Reconstruction Network,"Zhenxing Mi, Yiming Luo, Wenbing Tao",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6694,Progressive Relation Learning for Group Activity Recognition,"Guyue Hu, Bo Cui, Yuan He, Shan Yu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6823,Cooling-Shrinking Attack: Blinding the Tracker With Imperceptible Noises,"Bin Yan, Dong Wang, Huchuan Lu, Xiaoyun Yang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6841,Adversarial Camouflage: Hiding Physical-World Attacks With Natural Styles,"Ranjie Duan, Xingjun Ma, Yisen Wang, James Bailey, A. K. Qin, Yun Yang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6924,Weakly-Supervised Action Localization by Generative Attention Modeling,"Baifeng Shi, Qi Dai, Yadong Mu, Jingdong Wang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6926,Towards Achieving Adversarial Robustness by Enforcing Feature Consistency Across Bit Planes,"Sravanti Addepalli, Vivek B.S., Arya Baburaj, Gaurang Sriramanan, R. Venkatesh Babu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6956,Polishing Decision-Based Adversarial Noise With a Customized Sampling,"Yucheng Shi, Yahong Han, Qi Tian",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6959,Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,"Zhengyu Zhao, Zhuoran Liu, Martha Larson",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
6980,Something-Else: Compositional Action Recognition With Spatial-Temporal Interaction Networks,"Joanna Materzynska, Tete Xiao, Roei Herzig, Huijuan Xu, Xiaolong Wang, Trevor Darrell",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7006,Learning Unsupervised Hierarchical Part Decomposition of 3D Objects From a Single RGB Image,"Despoina Paschalidou, Luc Van Gool, Andreas Geiger",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7013,Focus on Defocus: Bridging the Synthetic to Real Domain Gap for Depth Estimation,"Maxim Maximov, Kevin Galim, Laura Leal-Taixé",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7016,Active Vision for Early Recognition of Human Actions,"Boyu Wang, Lihan Huang, Minh Hoai",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7204,SmallBigNet: Integrating Core and Contextual Views for Video Classification,"Xianhang Li, Yali Wang, Zhipeng Zhou, Yu Qiao",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7287,Gate-Shift Networks for Video Action Recognition,"Swathikiran Sudhakaran, Sergio Escalera, Oswald Lanz",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7303,Semantics-Guided Neural Networks for Efficient Skeleton-Based Human Action Recognition,"Pengfei Zhang, Cuiling Lan, Wenjun Zeng, Junliang Xing, Jianru Xue, Nanning Zheng",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7373,Exploiting Joint Robustness to Adversarial Perturbations,"Ali Dabouei, Sobhan Soleymani, Fariborz Taherkhani, Jeremy Dawson, Nasser M. Nasrabadi",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7375,From Image Collections to Point Clouds With Self-Supervised Shape and Pose Networks,"K L Navaneet, Ansu Mathew, Shashank Kashyap, Wei-Chih Hung, Varun Jampani, R. Venkatesh Babu",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7382,Searching for Actions on the Hyperbole,"Teng Long, Pascal Mettes, Heng Tao Shen, Cees G. M. Snoek",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7606,ColorFool: Semantic Adversarial Colorization,"Ali Shahin Shamsabadi, Ricardo Sánchez-Matilla, Andrea Cavallaro",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7683,Boosting the Transferability of Adversarial Samples via Attention,"Weibin Wu, Yuxin Su, Xixian Chen, Shenglin Zhao, Irwin King, Michael R. Lyu, Yu-Wing Tai",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
7838,ActionBytes: Learning From Trimmed Videos to Localize Actions,"Mihir Jain, Amir Ghodrati, Cees G. M. Snoek",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
8609,Efficient Adversarial Training With Transferable Adversarial Examples,"Haizhong Zheng, Ziqi Zhang, Juncheng Gu, Honglak Lee, Atul Prakash",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
9235,Alleviation of Gradient Exploding in GANs: Fake Can Be Real,"Song Tao, Jia Wang",Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning,False
